"Lesson 1:",,
"私","わたし","I"
"めまいがする","めまいがする","feel Dizzy"
,,
,,
"Lesson 18:",,
"できます","できます","Be able to, can"
"洗います","あらいます","Wash"
"弾きます","ひきます","Play (instrument or piano)"
"歌います","うたいます","Sing"
"集めます","あつめます","Collect, Gather"
"捨てます","すてます","Throw away"
"換えます","かえます","Exchange, Change"
"運転します","うんてんします","Driving"
"予約します","よやくします","Reserve, Book"
"見学します","けんがくします","Visit some place for Study"
"国際~","こくさい~","International ~"
"現金","げんきん","Cash"
"趣味","しゅみ","Hobby"
"日記","にっき","Diary"
"「お」祈り","「お」いのり","Prayer"
"課長","かちょう","Section Chief"
"部長","ぶちょう","Department Chief"
"社長","しゃちょう","President of a Company"
"とうぶつ","とうぶつ","Animal"
"馬","うま","Horse"
"ぱくじょう","ぱくじょう","Ranch, Stock Farm"
"ほんとうですか。","ほんとうですか。","Really?"
"ぜひ","ぜひ","By all means"
"飛ぶ","とぶ","Fly"
"跳ぶ","とぶ","Jump"
"登る","のぼる","Climb"
"走る","ほしる","Run"
"泳ぐ","およぐ","Swim"
"もぐる","もぐる","Dive"
"飛び込む","とびこむ","Dive in to"
"逆立ちする","さかだちする","Stand upside down"
"はう","はう","Crawl"
"ける","ける","Kick"
"振る","ふる","Wave"
"投げる","なげる","Throw"
"持ち上げる","もちあげる","Lift"
"たたく","たたく","Pat"
"引く","ひく","Pull"
"押す","おす","Push"
"曲げる","もげる","Bend"
"伸ばす","のばす","Extend"
"転ぶ","こるぶ","Fall Down"
"振り向く","ふりむく","Look Back"
,,
,,
"Lesson 19:",,
"登ります","のぼります","Climb (a mountain)"
"泊まります","とまります","Stay (at a hotel)"
"掃除します","そじします","Clean (a room)"
"洗濯します","せんたくします","Wash (Clothes)"
"練習します","れんしゅうします","Practice"
"なります","なります","Become"
"眠い","ねむい","Sleepy"
"強い","つよい","Strong"
"弱い","よわい","Break"
"調子がいい","ちょうしがいい","Be in Good condition"
"調子が悪い","ちょうしがわるい","Be in Bad condition"
"調子","ちょうし","Condition"
"お茶","おちゃ","Tea Ceremony"
"一度","いちど","Once"
"一度も","いちども","Not Once, Never"
"だんだん","だんだん","Gradually"
"もうすぐ","もうすぐ","Soon"
"おかげさまで","おかげさまで","Thankyou (expressing gratitude for help)"
"乾杯","かんばい","Bottoms up/Cheers"
,,
,,
"Lesson 20:",,
"要ります","いります","Need, Require (a passport)"
"調べます","しらべます","Check, Investigate"
"直します","なおします","Repair, Collect"
"修理します","しゅりします","Repair"
"電話します","でんわします","Phone"
"僕","ぼく","Informal way of saying I (for men)"
"君","きみ","Informal way of saying you (for men)"
"～君","～くん","Informal way of saying Mr. (for men)"
"うん","うん","Informal way of saying Yes"
"ううん","ううん","Informal way of saying No"
"ことば","ことば","Word, Language"
"物価","ぶっか","Commodity prices"
"着物","きもの","Kimono"
"初め","はじめ","The beginning"
"終わり","おわり","The end"
"こっち","こっち","Informal of こちら"
"そっち","そっち","Informal of そちら"
"あっち","あっち","Informal of あちら"
"どっち","どっち","Informal of どちら"
"この間","このあいだ","The other way"
"みんなで","みんなで","All together"
"～けど","～けど","Informal of ~, but"
,,
,,
"Lesson 21:",,
"思います","おもいます","Think"
"言います","いいます","Say"
"足ります","たります","be enough, be sufficient"
"勝ちます","かちます","Win"
"負けます","まけます","Loose"
"役に立ちます","やくにたちます","be useful"
"むだ「な」","むだ「な」","Wasteful"
"不便「な」","ふべん「な」","Inconvenient"
"同じ","おなじ","The same"
"すごい","すごい","Great, Awful"
"首相","しゅしょう","Prime minister"
"大統領","だいとりょう","President"
"政治","せいじ","Politics"
"試合","しあい","Game, Match"
"意見","いけん","Opinion"
"「お」話","「お」はなし","Speech, Story"
"交通","こうつう","Transportation, Traffic"
"最近","さいきん","Recently, these days"
"だぶん","だぶん","Probably, perhaps, maybe"
"きっと","きっと","Surely"
"ほんとうに","ほんとうに","Really?"
"そんあに","そんなに","Not so much"
"国","くに","Nation"
,,
,,
"Lesson 22:",,
"着ます","きます","Put on (a shirt, etc)"
"はきます","はきます","Put on (shoes, trousers, etc)"
"かぶります","かぶります","Put on (a hat, etc)"
"かけます","かけます","Put on (glasses)"
"生まれます","うまれます","Be born"
"帽子","ぼうし","Hat, cap"
"眼鏡","めがね","Glasses"
"よく","よく","Often"
"おめでとうございます","おめでとうございます","Congradulations"
"家賃","やちん","House rent"
"和室","わしつ","Japanese style room"
"押し入れ","おしいれ","Japanese style closet"
"布団","ふとん","Japanese style mattress and quilt"
"上着","うわぎ","Jacket"
"手袋","てふくろ","Gloves"
,,
,,
"Lesson 23:",,
"聞きます","ききます","Ask"
"回します","まわします","Turn"
"引きます","ひきます","Pull"
"変えます","かえます","Change"
"触ります","さわります","Touch"
"出ます","でます","Come out"
"動きます","うごきます","Moving or working (like a watch)"
"歩きます","あるきます","Walk"
"渡ります","わたります","Cross, pass [a bridge]"
"気をつけます","きをつけます","Pay attention, take care"
"引っ越しします","ひっこしします","Move (from one house to another)"
"電気屋","でんきや","Electric store, Electrician"
"音","おと","Sound"
"機械","きかい","Machine"
"つまみ","つまみ","Knob"
"故障","こしょう","Breakdown"
"道","みち","Road, way"
"交差点","こうさてん","Crossroad, crossing"
"信号","しんごう","Traffic light"
"角","かど","Corner"
"橋","はし","Bridge"
"駐車場","きゅうしゃじょう","Parking lot, car park"
"正月","しょうがつ","New year's Day"
"ごちそうさま","ごちそうさま","That was delicious"
"建物","たてもの","Building"
"外国人登録証","がいこくじんとうろくしょう","Alien Registration card"
"歩道","ほどう","Sidewalk"
"車道","しゃどう","Road"
"高速道路","こうそくどうろ","Expressway, motorway"
"通り","とおり","Street"
"横断歩道","おうだんほどう","Pedestrain Crossing"
"歩道橋","ほどうきょう","Pedestrain Bridge"
"信号","しんごう","Traffic light"
"坂","さか","Slope"
"踏切","ふみきり","Railroad crossing"
"止まれ","とまれ","Stop"
"進入禁止","しんにゅうきんし","No entry"
"一方通行","いっぽうつうこう","One way"
"駐車禁止","ちゅうしゃきんし","No parking"
"右折禁止","うせつきんｋし","No turning right"
,,
,,
"Lesson 24:",,
"くれます","くれます","Give (me)"
"連れて行きます","つれていきます","Take (someone）"
"連れて来ます","つれてきます","Bring (someone)"
"送ります","おくります","Escort (someone), go with"
"紹介します","しょうかいします","Introduce"
"案内します","あんないします","Show around, show the way"
"説明します","せつめいします","Explain"
"いれます","いれます","Make (coffee)"
"おじいさん<br>おじいちゃん","おじいさん<br>おじいちゃん","Grandfather / Old man"
"おばあさん<br>おばあちゃん","おばあさん<br>おばあちゃん","Grandmother/ Old woman"
"準備","じゅんび","Preperation"
"意味","いみ","Meaning"
"貸子","かし","Sweets, Snacks"
"全部","ぜんぶ","All"
"自分で","じぶんで","By ones self"
"ほかに","ほかに","Besides"
"弁当","べんと","Lunch Box"
"お年玉","おとしだま","New year's gift (money)"
"入学祝い","にゅがくいわい","Admission gift"
"卒魚祝い","そつぎょいわい","Graduation gift"
"結婚祝い","けっこんいわい","Wedding gift"
"出産祝い","しゅっさんいわい","Birth gift"
"お中元","おちゅげん","Gift to person you have respect"
"お香典","おこうでん","Condolence money"
"お見舞い","おみまい","Present given to a sick person"
,,
,,
"Lesson 25：",,
"考えます","かんがえます","Think, Consider"
"着きます","つきます","Arrive"
"留学します","りゅうがくします","Study abroad"
"取ります","とります","Grow old"
"田舎","いなか","Countryside, hometown"
"大使館","たいしかん","Embassy"
"億","おく","Hundred million"
"もし「～たら」","もし「～たら」","If ~"
"いくら「～ても」","いくら「～でも」","However~, even if~"
"転勤","てんきん","Transfer"
"赤ちゃん","あかちゃん","Baby"
"生まれます","うまれます","Be born"
"保育園","ほいくえん","Nursery school"
"幼稚園","ようちえん","Kindergarten"
"学校に入ります","学校に入ります","Enter school"
"大学院","だいがくいん","Post graduate school"
"学校を出ます","がっこうをでます","Graduate from school"
"就職します","しゅうしょくします","Get a job"
"子どもが生まれます","こどもがうまれます","Have a child"
"離婚します","りこんします","Divorce"
"再婚します","さいこんします","Marry again"
"し事をやめます","しごとをやめます","Retire"
"死にます","しにます","Die"
,,
,,
"Lesson 26:",,
"見ます","みます","Check"
"探します、捜します","さがします","Look for, search"
"遅れます","おくれます","Be late"
"間に合います","まにあいます","Be in time"
"やります","やります","Do"
"参加します","さんかします","Attend"
"申し込みます","もしこみます","Apply for, enter for"
"都合がいい","つごうがいい","Convenient [time]"
"都合が悪い","つごうがわるい","Inconvenient [time]"
"気分がいい","きぶんがいい","Feel well"
"気分が悪い","きぶんがわるい","Feel ill"
"新聞社","しんぶんしゃ","Newspaper publishing company"
"柔道","じゅうどう","Judo"
"運動会","うんどうかい","Athletic meeting"
"場所","ばしょ","Place"
"～弁","～べん","～Dialect"
"今度","こんど","Next time, another time"
"ずいぶん","ずいぶん","Pretty, very"
"直接","ちょくせつ","Directly"
"いつでも","いつでも","Anytime"
"どこでも","どこでも","Anywhere"
"だれでも","だれでも","Anybody"
"何でも","なんでも","Anything"
"片つかます","かたつきます","[boxes] be put in order"
"ごみ","ごみ","Garbage"
"燃えます","もえます","[trash] Burn"
"置き場","おきば","Place where something is put"
"横","よこ","Side"
"瓶","びん","Bottle"
"缶","かん","Can [Drink]"
"「お」湯","「お」ゆ","Hot water"
"連絡します","れんらくします","Contact"
"困ったなあ。","こまっなあ。","What shall I do?"
"宇宙","うちゅう","Space, Universe"
"怖い","こわい","Be afraid of"
"宇宙船","うちゅうせん","Spaceship"
"別の","べつの","Another"
"宇宙飛行士","うちゅうひこうし","Astronaut"
"紙くず","かみくず","Paper"
"生ごみ","なまごみ","Garbage"
,,
,,
"Lesson 27:",,
"飼います","かいます","Keep a pet, raise an animal"
"建てます","たてます","Build"
"走ります","はしります","Run, Drive down the road"
"見えます","みえます","[a mountain] can be seen"
"聞こえます","きこえます","[a sound] can be heard"
"できます","できます","[something] be made, be completed, come into existance"
"開きます","ひらきます","Set up [a class], open, hold"
"鳥","とり","Bird"
"声","こえ","Voice"
"波","なみ","Wave"
"花火","はなび","Fireworks"
"景色","けしき","Scenery, view"
"昼間","ひるま","Daytime"
"昔","むかし","Old days, ancient times"
"道具","どうぐ","Tool, instrument, equipment"
"自動販売機","じどうはんばいき","Vending Machine"
"通信販売","つうしんはんばい","Mail order, mail-order sails"
"台所","だいどころ","Kitchen"
"ほかの","ほかの","Other"
"ほっきり","ほっきり","Clearly"
"ほとんど","ほとんど","Almost all (in positive sent.), Hardly, scarcely (in negative sent.)"
"夢","ゆめ","Dream"
"いつか","いつか","Someday, sometime"
"家","いえ","House, home"
"すばらしい","すばらしい","Marvelous, wonderful"
"漫画","まんが","Cartoon, comicstrip"
"主人公","しゅじんこう","Hero, Heroine"
"形","かたち","Shape"
"不思議「な」","ふしぎ「な」","Fantastic, Mysterious"
"例えば","たとえば","For example"
"付けます","つけます","Attach, Put on"
"自由に","じゆに","Freely"
"空","そら","Sky"
"飛びます","とびます","Fly"
"自分","じぶん","Oneself"
"将来","しょうらい","Future"
"現像","げんぞう","Developing [a picture]"
"焼き増し","やきまし","Extra print [a picture]"
"引き伸ばし","ひきのばし","Enlargement [a picture]"
"水洗い","みずあらい","Laundering"
"染みめき","しみめき","Stain removal"
"防水加工","ぼうすいかこう","Waterproof"
"縮む","ちぢむ","Shrink [clothes]"
"伸びる","のびる","Stretch [clothes]"
"宅配便の受付","たくはいびんおうけつけ","Delivery Service"
"写真現像","しゃしんげんぞう","Photo developing"
"公共料金振込み","こうきょうりょうきんふりこえ","Payment of utility charges"
"はがき、切手の販売","はがき、きってのはんばい","Sale of Post cards and Stamps"
,,
,,
"Lesson 28:",,
"踊ります","おどります","Dance"
"かみます","かみます","Chew, bite"
"選びます","えらびます","Choose"
"違います","ちがいます","Be different"
"通います","かよいます","Go to and from [university]"
"まじめ「な」","まじめ「な」","Serious"
"熱心「な」","ねっしん「な」","Earnest"
"優しい","やさしい","Gentle, Kind"
"偉い","えらい","Great, admirable"
"ちょうどいい","ちょうどいい","Proper, just right"
"習慣","しゅうかん","Custom"
"経験","けいけん","Experience"
"力","ちから","Power"
"人気","にんき","Popularity"
"形","かたち","Form, shape"
"色","いろ","Color"
"味","あじ","Taste"
"品物","しなもの","Goods"
"値段","ねだん","Price"
"給料","きゅうりょう","Salary"
"番組","ばんぐみ","Program"
"小説","しょうせつ","Novel (book)"
"小説家","しょうせつか","Novelist"
"歌手","かしゅ","Singer"
"管理人","管理人","Janitor"
"息子","むすこ","(my) Son"
"息子さん","むすこさん","(someone else's) Son"
"娘","むすめ","(my) Daughter"
"娘さん","むすめさん","(someone else's) Daughter"
"自分","じぶん","One's self"
"将来","しょうらい","Future"
"しばらく","しばらく","A little while"
"たいてい","たいてい","Usually, mostly"
"それに","それに","In addition"
"それで","それで","And so"
"会話","かいわ","Conversation"
"お知らせ","おしらせ","Notice"
"日にち","ひにち","Date"
"体育館","たいいくかん","Gymnasium"
"無料","むりょう","Free of charge"
"中央線","ちゅうおうせん","Train line"
"西荻窪駅","にしおぎくぼえき","Nearest Station"
"家賃","やちん","Rental fee"
"敷金","しききん","Deposit money"
"礼金","れいきん","Gift money"
"管理費","かんりひ","Maintenance fee"
,,
,,
"Lesson 29:",,
"開きます","あきます","[a door] Open"
"閉まります","しまります","[a door] Close"
"つきます","つきます","[a light] Come on"
"消えます","きえます","[a light] Go off, disappear"
"込みます","こみます","[a road] Get crowded"
"すきます","すきます","[a road] Get empty"
"壊れます","こわれます","[a chair] Break"
"割れます","われます","[a glass] Break, smash"
"折れます","おれます","[a tree] Break, snap"
"破れます","やぶれます","[the paper] Tear"
"汚れます","よごれます","[the clothes] Get dirty"
"付きます","つきます","[a pocket] be attached"
"外れます","はずれます","[a button] be undone"
"止まります","とまります","[an elevator] Stop"
"まちがえます","まちがえます","Make a mistake"
"落とします","おとします","Drop, lose"
"掛かります","かかります","Be locked"
"「お」皿","「お」さら","Plate, dish"
"「お」ちゃわん","「お」ちゃわん","Rice bowl"
"袋","ふくろ","Bag"
"財布","さいふ","Wallet, Purse"
"枝","えだ","Branch"
"この辺","このへん","This neighborhood, around here"
"～辺","～へん","The place around ~"
"ころくらい","このくらい","Around this size"
"お先にどうぞ。","おさきにどうぞ。","After you, Go ahead please"
"よかった。","よかった。","Thank goodness!"
"確か","たしか","I suppose, if I am correct"
"網棚","あみだな","Rack"
"地震","じしん","Earthquake"
"壁","かべ","Wall"
"指します","さします","Point"
"針","はり","Hands (of a clock）"
"倒れます","たおれます","Fall down"
"方","ほう","Direction"
"太っている","ふっている","Fat"
"やせている","やせている","Thin"
"膨らんでいる","ふくらんでいる","Bulging"
"穴が開いている","あながあいている","Have a hole"
"曲がっている","まがっている","Bent"
"ゆがんでいる","ゆがんでいる","Disordered"
"へこんでいる","へこんでいる","Dented"
"ねじれている","ねじれている","Twisted"
"欠けている","かけている","Chipped off"
"ひびが入っている","ひびがはいっている","Cracked"
"腐っている","くさっている","Rotten"
"乾いている","かわいている","Dry"
"ぬれている","ぬれている","Wet"
"凍っている","こおっている","Frozen"
,,
,,
"Lesson 30:",,
"はります","はります","Put up, post, paste"
"掛けます","かけます","Hang"
"飾ります","かざります","Display, Decorate"
"並べます","ならべます","Arrange, Line up"
"植えます","うえます","Plant"
"戻します","もどします","Return, Put Back"
"まとめます","まとめます","Put ~ together, Put ~ in shape, sum up"
"片づけます","かたづけます","Put things in order, tidy up"
"しまいます","しまいます","Put things in their proper place"
"決めます","きめます","Decide"
"知らせます","しらせます","To inform"
"相談します","そうだんします","Consult, discuss"
"予習します","よしゅうします","Prepare one's lesson"
"復習します","ふくしゅうします","Review one's lesson"
"そのままにします","そのままにします","Leave things as they are"
"お子さん","おこさん","Some one else's child"
"授業","じゅぎょう","Class"
"講義","こうぎ","Lecture"
"予定","よてい","Plan, Schedule"
"お知らせ","おしらせ","Notice"
"案内書","あんないしょ","Guide book"
"ごみ箱","ごみばこ","Trash can, dust bin"
"人形","にんぎょう","Doll"
"花瓶","かびん","Vase"
"鏡","かがみ","Mirror"
"引き出し","ひきだし","Drawer"
"玄関","げんかん","Front door, porch, entrance hall"
"廊下","ろうか","Corridor, hallway"
"壁","かべ","Wall"
"池","いけ","Pond"
"交番","こうばん","Police Box"
"元の所","もとのところ","Original Place"
"周り","まわり","Round, Around"
"真ん中","まんなか","Center"
"隅","すみ","Corner"
"まだ","まだ","Still"
"～ほど","～ほど","About~"
"予定表","よていひょう","Schedule"
"ご苦労様","ごくろうさま","Thankyou for your hard work"
"希望","きぼう","Hope, request"
"丸い","まるい","Round, Around"
"地球","ちきゅう","Earth"
"うれしい","うれしい","Glad, happy"
"嫌「な」","いや「な」","Hateful, Disagreeable"
"目が覚めます","めがさめます","Wake up"
"位置","いち","Location"
"上から二段目","うえからにだんめ","The second from top"
"～の横","～のよこ","Beside"
"奥","おく","Inner part"
"手前","てまえ","This side"
"前から二列目","まえからにれつめ","The second row"
"机の周り","つくえのまわり","Around"
"斜め前","ななめまえ","Diagonally ahead"
"斜め後ろ","ななめうしろ","Diagonally Behind"
"～のそば","～のそば","Next to, beside"
"二行目","にぎょうめ","The second line"
,,
,,
"Lesson 31:",,
"始まります","はじまります","[a ceremony] begin, start"
"続けます","つづけます","To Continue"
"見つけます","みつけます","To find"
"受けます","うけます","Take (an examination)"
"入学します","にゅうがくします","Enter (a university)"
"卒業します","そつぎょうします","Graduate from (a university)"
"出席します","しゅっせきします","Attend (a meeting)"
"休憩します","きゅうけいします","Take a break, take a rest"
"連休","れんきゅう","Consecutive holiday"
"作文","さくぶん","Essay, composition"
"展覧会","てんらんかい","Exhibition"
"結婚式","けっこんしき","Wedding ceremony"
"「お」葬式","「お」そうしき","Funeral"
"式","しき","Ceremony"
"本社","ほんしゃ","Head office"
"支店","してん","Branch office"
"温泉","おんせん","Hot spring, spa"
"お客","おきゃく","Visitor, guest, customer, client"
"だれか","だれか","Somebody"
"ずっと","ずっと","All the time"
"残ります","のこります","Remain, be left"
"月に","つきに","Per month"
"普通の","ふつうの","Ordinary, common, usual"
"嫌「な」","いや「な」","Hateful, disagreeable"
"空","そら","Sky"
"閉じます","とじます","Close"
"自由に","じゆうに","Freely"
"世界中","せかいじゅう","All over the world"
"美しい","うつくしい","Beautiful"
"自然","しぜん","Nature"
"すばらしさ","すばらしさ","Goodness, virtue"
"薬学","やくがく","Pharmacology"
"生化学","せいかがく","Biochemistry"
"生物学","せいぶつがく","Biology"
"農学","のうがく","Agriculture"
"土木工学","どうぼくこうがく","Civil engineering"
"電子工学","でんしこうがく","Electronics"
"電気工学","でんきこうがく","Electronical Engineering"
"遺伝子工学","いでんしこうがく","Genetic Engineering"
"建築学","けんちくがく","Architecture"
"環境科学","かんきょうかがく","Environmental Science"
"国際関係学","こくさいかんけいがく","International relations"
"法律学","ほうりつがく","Law"
"経営学","けいえいがく","Business administration"
"社会学","しゃかいがく","Sociology"
"言語学","げんごがく","Linguistics"
"心理学","しんりがく","Psychology"
"哲学","てつがく","Philosophy"
"宗教学","しゅうきょうがく","Theology"
"芸術","げいじゅつ","Arts"
"美術","びじゅつ","Fine arts"
,,
,,
"Lesson 32:",,
"運動します","うんどうします","Take exercise"
"成功します","せいこうします","Succeed"
"失敗します","しっぱいします","Fail (an examination）"
"合格します","ごうかくします","Pass (an examination)"
"戻ります","もどります","Return"
"やみます","やみます","Stop (rain)"
"晴れます","はれます","Clear up"
"曇ります","くもります","Get cloudy"
"吹きます","ふきます","Blow (wind)"
"治ります","なおります","Recover from, get well"
"続きます","つづきます","Continue (high temperature)"
"ひきます","ひきます","Catch (a cold)"
"冷やします","ひやします","Cool"
"心配「な」","しんぱい「な」","Worried, anxious"
"十分「な」","じゅうぶん「な」","Enough, Sufficient"
"おかしい","おかしい","Strange, funny"
"うるさい","うるさい","Noisy"
"やけどをします","やけどをします","Get burnt"
"けがをします","けがをします","Get injured"
"せきをします","せきをします","Have a cough"
"太陽","たいよう","Sun"
"星","ほし","Star"
"月","つき","Moon"
"風","かぜ","Wind"
"水道","すいどう","Faucet, tap, water supply"
"今夜","こんや","This evening"
"夕方","ゆうがた","Late afternoon"
"遅く","おそく","Late (time)"
"こんなに","こんなに","Like this"
"そんなに","そんなに","Like that"
"もしかしたら","もしかしたら","Possibly, perhaps"
"それわいけませんね","それわいけあせんね","That's too bad"
"胃","い","Stomach"
"働きすき","はたらきすき","Working too much"
"無理をします","むりをします","Work more than one's capacity"
"ゆっくりします","ゆっくりします","Take one's time"
"星占い","ほしうらない","Horoscope"
"牡牛座","おうしざ","Taurus"
"困ります","こまります","Be in trouble, have a Problem"
"宝くじ","たからくじ","Lottery"
"当たります","あたります","Win (a lottery)"
"健康","けんこう","Health"
"恋愛","れんあい","Romantic love"
"恋人","こいびと","Sweet heart, boyfriend, girl friend"
"「お」金持ち","「お」かねもち","Rich person"
"天気予報","てんきよほう","Weather forcast"
"降水確率","こうすいかりつ","Probablility of Rain"
"最高気温","さいこうきおん","The highest temperature"
"最低気温","さいていきおん","The lowest temperature"
"曇り","くもり","Cloudy"
"雪","ゆき","Snow"
"晴れのち曇り","はれのちくもり","Fine, cloudy later"
"曇り時々雨","くもりときどきあめ","Cloudy, occasional rain"
"曇り所によって雨","くもりところによってあめ","Cloudy, partly rain"
"にわか雨","にわかあめ","Shower"
"雷","かみなり","Tunder"
"台風","たいふう","Typhoon"
"虹","にじ","Rainbow"
"湿度","しつど","Humidity"
"蒸し暑い","むしあつい","Hot and Humid"
"さわやか「な」","さわやか「な」","Refreshing"
,,
,,
"Lesson 33:",,
"逃げます","にげます","Run away"
"騒ぎます","さわぎます","Make noise"
"あきらめます","あきらめます","Give up"
"投げます","なげます","Throw"
"守ります","まもります","Keep, follow, obey"
"上げます","あげます","Raise, Lift"
"下げます","さげます","Lower, Pull down"
"伝えます","つたえます","Convey (a message)"
"注意します","ちゅいします","Be careful"
"外します","はずします","Be away"
"だめ「な」","だめ「な」","Not good, not permitted"
"席","せき","Seat"
"洗濯機","せんたくき","Washing mashine"
"～機","～き","Machine"
"規則","きそく","Regulation, Law"
"使用禁止","しようきんし","Do not use"
"立入禁止","たちいりきんし","Keep out"
"入口","いりぐち","Entrance"
"出口","でぐち","Exit"
"非常口","ひじょうぐち","Emergency Exit"
"無料","むりょう","Free of Charge"
"本日休強","ほんじつきゅうぎょう","Closed day"
"営業中","えいぎょうちゅう","Open for business"
"使用中","しようちゅう","In use"
"～中","～ちゅう","～ing"
"どういう～","どういう～","What kind of ~"
"駐車違反","ちゅうしゃいはん","Parking violation"
"そりゃあ","そりゃあ","Well"
"～以内","～いない","Within ~"
"警察","けいさつ","Police Station"
"罰金","ばつきん","Fine"
"電報","でんぽう","Telegram"
"人々","ひとびと","People"
"急用","きゅうよう","Urgent business"
"打ちます","うちます","Send (telegram)"
"電報代","でんぽうだい","Telegram charge"
"できるだけ","できるだけ","As much as possible"
"短く","みじかく","Shortly, briefly"
"例えば","たとえば","Example"
"重い病気","おもいびょうき","Serious illness"
"明日","あす","Tomorrow"
"留守","るす","Absence"
"留守番","るすばん","Looking for a house during the owner's absence"
"「お」祝い","「お」いわい","Celebration"
"亡くなります","なくなります","Pass away, die"
"悲しみ","かなしみ","Sorrow, sadness"
"準備中","じゅんびちゅう","In preperation"
"化粧室","けしょうしつ","Toilet"
"禁煙席","きんえんせき","No smoking seat"
"予約席","よやくせき","Reserved seat"
"火気厳禁","かきげんきん","Flammable"
"割れ物注意","われものちゅうい","Fragile"
"運転初心者注意","うんてんしょしんしゃちゅうい","Beginner Driver"
"工事中","こうじちゅう","Under construction"
"塩素系漂白剤不可","えんそけいひょうはくざいふか","Don't use chlorine"
"手洗い","てあらい","Wash by hand"
"標識","ひょうしき","Signs"
,,
,,
"Lesson 34：",,
"磨きます","みがきます","Brush (teeth), Polish"
"組み立てます","くみたてます","Assemble"
"折ります","おります","Bend, fold, break, snap"
"つけます","つけます","Put (in soy sauce)"
"見つかります","みつかります","Be found"
"します","します","Put on (a tie)"
"細い","ほそい","Thin (of small diameter)"
"太い","ふとい","Thick (of large diameter)"
"盆踊り","ぼんおどり","Bon festival dance"
"家具","かぐ","Furniture"
"説明書","せつめいしょ","Instructions book"
"線","せん","Line"
"矢印","やじるし","Arrow"
"黒","くろ","Black"
"白","しろ","White"
"赤","あか","Red"
"青","あお","Blue"
"紺","こん","Navy blue, dark blue"
"黄色","黄色","きいろ"
"茶色","ちゃいろ","Brown"
"しょうゆ","しょうゆ","Soy sauce"
"～か～","～か～","~or~"
"ゆうべ","ゆうべ","Last night"
"さっき","さっき","A short while ago"
"茶道","さどう","Tea ceremony"
"お茶をたてます","おちゃをたてます","Make green tea"
"先に","さきに","First"
"載せます","のせます","Place on, Load onto"
"苦い","にがい","Bitter"
"親子どんぶり","おやこどんぶり","A bowl of cooked rice with chicken and egg"
"材料","ざいりょう","Material, Ingredient"
"鳥肉","とりにく","Chicken"
"たまねぎ","たまねぎ","Onion"
"よんぶんのいち","４ぶんの１","One fourth"
"調味料","ちょうみりょう","Seasoning, Flavoring"
"なべ","なべ","Pan, pot"
"火にかけます","ひにかけます","Put on the stove"
"煮ます","にます","Cook, boil"
"煮えます","にえます","Be cooked, be boiled"
"どんぶり","どんぶり","Ceramic bowl"
"焼きます","やきます","To Grill, To bake, To roast"
"揚げます","あげます","To Deep fry"
"いためます","いためます","To Shallow fry"
"ゆでます","ゆでます","To Boil"
"蒸します","むします","To steam"
"炊きます","たきます","To cook rice"
"むきます","むきます","To peal, to pare"
"刻みます","きざみます","To Chop, Mince"
"かき混ぜます","かきまぜます","To stir"
"台所用品","だいどころようひん","Cookware & Kitchen Utensils"
"やかん","やかん","Kettle"
"ふた","ふた","Lid"
"おたま","おたま","Ladle"
"まな板","まないた","Cutting board"
"包丁","ほうちょう","Kitchen knife"
"ふきん","ふきん","Kitchen towel"
"炊飯器","すいはんき","Rice cooker"
"しゃもじ","しゃもじ","Rice paddle"
"缶切り","かんきり","Can opener"
"ざる","ざる","Colander"
"ガス台","ガスだい","Gas Stove"
"流し「台」","ながし「だい」","Sink"
"換気扇","かんきせん","Ventilation fan"
,,
,,
"Lesson 35:",,
"咲きます","さきます","Bloom (flowers)"
"変わります","かわります","Change (color)"
"困ります","こまります","Be in trouble, have a problem"
"付けます","つけます","Draw, mark"
"拾います","ひろいます","Pick up"
"かかります","かかります","Get through"
"楽「な」","らく「な」","Comfortable, Easy"
"正しい","ただしい","Correct, right"
"珍しい","めずらしい","Rare, uncommon"
"方","かた","Person (respectful equivalent of ひと)"
"向こう","むこう","Over there, the other side"
"島","しま","Island"
"村","むら","Village"
"港","みなと","Harbor, port"
"近所","きんじょ","Neighborhood, Vicinity"
"屋上","おくじょう","Rooftop"
"海外","かいがい","Overseas"
"山登り","やまのぼり","Mountain Climbing"
"機会","きかい","Chance, Opportunity"
"許可","きょか","Permission"
"丸","まる","Circle"
"操作","そうさ","Operation"
"方法","ほうほう","Method"
"設備","せつび","Equipment, Facilities"
"ひも","ひも","String"
"ふた","ふた","Lid, cover"
"葉","は","Leaf"
"曲","きょく","A piece of music"
"楽しみ","たのしみ","Pleasure, enjoyment, expectation"
"もっと","もっと","More"
"初めに","はじめに","First"
"それなら","それなら","In that case"
"夜行バス","やこうバス","Night bus"
"旅行者","りょこうしゃ","Travel agency"
"詳しい","くわしい","Detailed"
"スキー場","スキーじょう","Ski resort"
"朱","しゅ","Red"
"交わります","まじわります","Keep company with"
"ことわざ","ことわざ","Proverb"
"仲よくします","なかよくします","Be on good terms with"
"必要「な」","ひつよう「な」","Necessary, Essential"
,,
,,
"Lesson 36:",,
"届きます（荷物が）","とどきます（にもつが）","Be delivered (parcels)"
"出ます（試合に）","でます（しあいに）","Participate (in a game)"
"打ちます（ワープロを）","うちます（ワープロを）","Type (in a word processor)"
"貯金します","ちょきんします","Save money"
"太ります","ふとります","Get fat"
