"Lesson 1:","",""
"私","わたし","я"
"病気","びょうき","болезнь"
"薬","くすり","лекарство"
"「お」ふろ","「お」ふろ","ванна"
"上着","うわぎ","пиджак, верхняя одежда"
"下着","したぎ","нижнее бельё"
"どうしましたか。","どうしましたか。","что случилось?"
"頭が痛い","あたまがいたい","болит голова"
"おなかが痛い","おなかが痛い","болит живот"
"歯が痛い","はがいたい","болит зуб"
"熱がある","ねつがある","есть температура (жар)"
"せきが出る","せきがでる","есть кашель"
"鼻水が出る","はなみずがでる","насморк"
"血が出る","ちがでる","идёт кровь, кровотечение"
"吐き気がする","はきけがする","тошнит"
"寒気がする","さむけがする","знобит"
"下痢をする","げりをすり","понос"
"便秘をする","べんびをする","запор"
"けがをする","けがをする","получить травму"
"やけどをする","やけどをする","обжечься"
"食欲がない","しょくよくがない","нет аппетита"
"肩がこる","かたがこる","затекли плечи"
"体がだるい","からだがだるい","ощущается вялость в теле"
"かゆい","かゆい","чешется, зудит"
"かぜ","かぜ","простуда"
"盲腸","むちょう","аппендицит"
"ぎっくり腰","ぎっくりごし","прострел в пояснице"
"ねんぎ","ねんぎ","растяжение"
"骨折","こつせつ","перелом кости"
"二日酔い","ふつかよい","похмелье"
"めまいがする","めまいがする","кружится голова"
"","",""
"","",""
"Lesson 18:","",""
"できます","できます","мочь, уметь"
"洗います","あらいます","мыть, стирать"
"弾きます","ひきます","играть (на инструменте)"
"歌います","うたいます","петь"
"集めます","あつめます","собирать, коллекционировать"
"捨てます","すてます","выбрасывать"
"換えます","かえます","менять, обменивать"
"運転します","うんてんします","водить (машину)"
"予約します","よやくします","бронировать, заказывать"
"見学します","けんがくします","посещать с ознакомительной целью"
"国際~","こくさい~","международный ~"
"現金","げんきん","наличные"
"趣味","しゅみ","хобби, увлечение"
"日記","にっき","дневник"
"「お」祈り","「お」いのり","молитва"
"課長","かちょう","начальник отдела"
"部長","ぶちょう","начальник управления"
"社長","しゃちょう","директор компании"
"とうぶつ","とうぶつ","животное"
"馬","うま","лошадь"
"ぱくじょう","ぱくじょう","ранчо, ферма"
"ほんとうですか。","ほんとうですか。","правда?"
"ぜひ","ぜひ","обязательно"
"飛ぶ","とぶ","летать"
"跳ぶ","とぶ","прыгать"
"登る","のぼる","взбираться, лезть"
"走る","ほしる","бегать"
"泳ぐ","およぐ","плавать"
"もぐる","もぐる","нырять"
"飛び込む","とびこむ","прыгать (в воду)"
"逆立ちする","さかだちする","стоять на руках"
"はう","はう","ползать"
"ける","ける","пинать, бить ногой"
"振る","ふる","махать"
"投げる","なげる","бросать"
"持ち上げる","もちあげる","поднимать"
"たたく","たたく","хлопать, стучать"
"引く","ひく","тянуть"
"押す","おす","толкать"
"曲げる","もげる","сгибать"
"伸ばす","のばす","вытягивать, выпрямлять"
"転ぶ","こるぶ","падать"
"振り向く","ふりむく","оборачиваться"
"","",""
"","",""
"Lesson 19:","",""
"登ります","のぼります","подниматься (на гору)"
"泊まります","とまります","останавливаться (в гостинице)"
"掃除します","そじします","убирать (комнату)"
"洗濯します","せんたくします","стирать (одежду)"
"練習します","れんしゅうします","тренироваться, упражняться"
"なります","なります","становиться"
"眠い","ねむい","сонный"
"強い","つよい","сильный"
"弱い","よわい","слабый"
"調子がいい","ちょうしがいい","быть в хорошем состоянии"
"調子が悪い","ちょうしがわるい","быть в плохом состоянии"
"調子","ちょうし","состояние"
"お茶","おちゃ","чайная церемония"
"一度","いちど","один раз"
"一度も","いちども","ни разу, никогда"
"だんだん","だんだん","постепенно"
"もうすぐ","もうすぐ","скоро"
"おかげさまで","おかげさまで","спасибо (благодаря вам)"
"乾杯","かんばい","за здоровье! (тост)"
"","",""
"","",""
"Lesson 20:","",""
"要ります","いります","нуждаться, требоваться (паспорт)"
"調べます","しらべます","проверять, выяснять"
"直します","なおします","чинить, исправлять"
"修理します","しゅりします","ремонтировать"
"電話します","でんわします","звонить по телефону"
"僕","ぼく","я (неформально, муж.)"
"君","きみ","ты (неформально, муж.)"
"～君","～くん","～-кун (неформальное обращение к муж.)"
"うん","うん","ага (неформальное «да»)"
"ううん","ううん","не-а (неформальное «нет»)"
"ことば","ことば","слово, язык"
"物価","ぶっか","цены (на товары)"
"着物","きもの","кимоно"
"初め","はじめ","начало"
"終わり","おわり","конец"
"こっち","こっち","сюда; здесь (неформ.)"
"そっち","そっち","туда; там (неформ.)"
"あっち","あっち","туда; там (вдали, неформ.)"
"どっち","どっち","куда; который (неформ.)"
"この間","このあいだ","на днях, недавно"
"みんなで","みんなで","все вместе"
"～けど","～けど","～, но (неформ.)"
"","",""
"","",""
"Lesson 21:","",""
"思います","おもいます","думать, считать"
"言います","いいます","говорить, сказать"
"足ります","たります","хватать, быть достаточным"
"勝ちます","かちます","побеждать, выигрывать"
"負けます","まけます","проигрывать"
"役に立ちます","やくにたちます","быть полезным, пригодиться"
"むだ「な」","むだ「な」","бесполезный, напрасный"
"不便「な」","ふべん「な」","неудобный"
"同じ","おなじ","одинаковый, тот же"
"すごい","すごい","потрясающий; ужасный"
"首相","しゅしょう","премьер-министр"
"大統領","だいとりょう","президент"
"政治","せいじ","политика"
"試合","しあい","матч, игра"
"意見","いけん","мнение"
"「お」話","「お」はなし","речь, рассказ"
"交通","こうつう","транспорт, движение"
"最近","さいきん","недавно, в последнее время"
"だぶん","だぶん","вероятно, возможно"
"きっと","きっと","наверняка"
"ほんとうに","ほんとうに","действительно, по-настоящему"
"そんあに","そんなに","не так уж (с отрицанием)"
"国","くに","страна, государство"
"","",""
"","",""
"Lesson 22:","",""
"着ます","きます","надевать (рубашку и т.п.)"
"はきます","はきます","надевать (обувь, брюки)"
"かぶります","かぶります","надевать (головной убор)"
"かけます","かけます","надевать (очки)"
"生まれます","うまれます","рождаться"
"帽子","ぼうし","шляпа, шапка"
"眼鏡","めがね","очки"
"よく","よく","часто"
"おめでとうございます","おめでとうございます","поздравляю"
"家賃","やちん","квартплата"
"和室","わしつ","комната в японском стиле"
"押し入れ","おしいれ","стенной шкаф (японский)"
"布団","ふとん","футон (японский матрас и одеяло)"
"上着","うわぎ","пиджак, куртка"
"手袋","てふくろ","перчатки"
"","",""
"","",""
"Lesson 23:","",""
"聞きます","ききます","спрашивать"
"回します","まわします","крутить, поворачивать"
"引きます","ひきます","тянуть, тащить"
"変えます","かえます","менять, изменять"
"触ります","さわります","трогать, касаться"
"出ます","でます","выходить, появляться"
"動きます","うごきます","двигаться, работать (как часы)"
"歩きます","あるきます","ходить пешком"
"渡ります","わたります","переходить (мост)"
"気をつけます","きをつけます","быть внимательным, осторожным"
"引っ越しします","ひっこしします","переезжать"
"電気屋","でんきや","магазин электротоваров; электрик"
"音","おと","звук"
"機械","きかい","машина, механизм"
"つまみ","つまみ","ручка (регулятор)"
"故障","こしょう","поломка"
"道","みち","дорога, путь"
"交差点","こうさてん","перекрёсток"
"信号","しんごう","светофор"
"角","かど","угол"
"橋","はし","мост"
"駐車場","きゅうしゃじょう","автостоянка"
"正月","しょうがつ","Новый год (праздник)"
"ごちそうさま","ごちそうさま","спасибо, было вкусно"
"建物","たてもの","здание"
"外国人登録証","がいこくじんとうろくしょう","удостоверение иностранца"
"歩道","ほどう","тротуар"
"車道","しゃどう","проезжая часть"
"高速道路","こうそくどうろ","скоростная автомагистраль"
"通り","とおり","улица"
"横断歩道","おうだんほどう","пешеходный переход"
"歩道橋","ほどうきょう","пешеходный мост"
"信号","しんごう","светофор"
"坂","さか","склон, спуск"
"踏切","ふみきり","железнодорожный переезд"
"止まれ","とまれ","стоп"
"進入禁止","しんにゅうきんし","въезд запрещён"
"一方通行","いっぽうつうこう","одностороннее движение"
"駐車禁止","ちゅうしゃきんし","стоянка запрещена"
"右折禁止","うせつきんｋし","поворот направо запрещён"
"","",""
"","",""
"Lesson 24:","",""
"くれます","くれます","давать (мне)"
"連れて行きます","つれていきます","отводить, брать с собой (кого-либо)"
"連れて来ます","つれてきます","приводить (кого-либо)"
"送ります","おくります","провожать (кого-либо)"
"紹介します","しょうかいします","представлять, знакомить"
"案内します","あんないします","показывать дорогу, проводить"
"説明します","せつめいします","объяснять"
"いれます","いれます","готовить (кофе)"
"おじいさん<br>おじいちゃん","おじいさん<br>おじいちゃん","дедушка; пожилой мужчина"
"おばあさん<br>おばあちゃん","おばあさん<br>おばあちゃん","бабушка; пожилая женщина"
"準備","じゅんび","подготовка"
"意味","いみ","значение, смысл"
"貸子","かし","сладости, закуски"
"全部","ぜんぶ","всё, целиком"
"自分で","じぶんで","самостоятельно, сам"
"ほかに","ほかに","кроме того, ещё"
"弁当","べんと","бэнто (упакованный обед)"
"お年玉","おとしだま","новогодний денежный подарок"
"入学祝い","にゅがくいわい","подарок на поступление"
"卒魚祝い","そつぎょいわい","подарок на выпуск"
"結婚祝い","けっこんいわい","свадебный подарок"
"出産祝い","しゅっさんいわい","подарок на рождение ребёнка"
"お中元","おちゅげん","летний подарок (знак уважения)"
"お香典","おこうでん","деньги на похороны (соболезнование)"
"お見舞い","おみまい","подарок больному"
"","",""
"","",""
"Lesson 25：","",""
"考えます","かんがえます","думать, обдумывать"
"着きます","つきます","прибывать"
"留学します","りゅうがくします","учиться за границей"
"取ります","とります","стареть (с возрастом)"
"田舎","いなか","деревня, родные места"
"大使館","たいしかん","посольство"
"億","おく","сто миллионов"
"もし「～たら」","もし「～たら」","если ~"
"いくら「～ても」","いくら「～でも」","сколько бы ни ~, даже если ~"
"転勤","てんきん","перевод (на другое место работы)"
"赤ちゃん","あかちゃん","младенец"
"生まれます","うまれます","рождаться"
"保育園","ほいくえん","ясли"
"幼稚園","ようちえん","детский сад"
"学校に入ります","学校に入ります","поступать в школу"
"大学院","だいがくいん","аспирантура (магистратура)"
"学校を出ます","がっこうをでます","оканчивать школу"
"就職します","しゅうしょくします","устраиваться на работу"
"子どもが生まれます","こどもがうまれます","рождается ребёнок"
"離婚します","りこんします","разводиться"
"再婚します","さいこんします","снова жениться, повторно вступать в брак"
"し事をやめます","しごとをやめます","увольняться с работы"
"死にます","しにます","умирать"
"","",""
"","",""
"Lesson 26:","",""
"見ます","みます","проверять, смотреть"
"探します、捜します","さがします","искать"
"遅れます","おくれます","опаздывать"
"間に合います","まにあいます","успевать (вовремя)"
"やります","やります","делать"
"参加します","さんかします","участвовать"
"申し込みます","もしこみます","подавать заявку, записываться"
"都合がいい","つごうがいい","удобно (по времени)"
"都合が悪い","つごうがわるい","неудобно (по времени)"
"気分がいい","きぶんがいい","хорошо себя чувствовать"
"気分が悪い","きぶんがわるい","плохо себя чувствовать"
"新聞社","しんぶんしゃ","газетное издательство"
"柔道","じゅうどう","джудо"
"運動会","うんどうかい","спортивный праздник (соревнования)"
"場所","ばしょ","место"
"～弁","～べん","～диалект"
"今度","こんど","в следующий раз"
"ずいぶん","ずいぶん","весьма, довольно"
"直接","ちょくせつ","напрямую"
"いつでも","いつでも","в любое время"
"どこでも","どこでも","где угодно"
"だれでも","だれでも","кто угодно"
"何でも","なんでも","что угодно"
"片つかます","かたつきます","быть убранным, приведённым в порядок"
"ごみ","ごみ","мусор"
"燃えます","もえます","гореть (о мусоре)"
"置き場","おきば","место складирования"
"横","よこ","бок, сторона"
"瓶","びん","бутылка"
"缶","かん","банка (для напитков)"
"「お」湯","「お」ゆ","горячая вода"
"連絡します","れんらくします","связываться"
"困ったなあ。","こまっなあ。","вот беда; что же делать?"
"宇宙","うちゅう","космос, Вселенная"
"怖い","こわい","страшный, пугающий"
"宇宙船","うちゅうせん","космический корабль"
"別の","べつの","другой, иной"
"宇宙飛行士","うちゅうひこうし","космонавт"
"紙くず","かみくず","бумажный мусор"
"生ごみ","なまごみ","пищевые отходы"
"","",""
"","",""
"Lesson 27:","",""
"飼います","かいます","держать (питомца), разводить (животное)"
"建てます","たてます","строить"
"走ります","はしります","бежать; ехать (по дороге)"
"見えます","みえます","быть видимым (видно)"
"聞こえます","きこえます","быть слышимым (слышно)"
"できます","できます","создаваться, появляться, быть готовым"
"開きます","ひらきます","открывать, проводить (занятие)"
"鳥","とり","птица"
"声","こえ","голос"
"波","なみ","волна"
"花火","はなび","фейерверк"
"景色","けしき","пейзаж, вид"
"昼間","ひるま","дневное время"
"昔","むかし","старые времена, древность"
"道具","どうぐ","инструмент, приспособление"
"自動販売機","じどうはんばいき","торговый автомат"
"通信販売","つうしんはんばい","торговля по почте (заказ по каталогу)"
"台所","だいどころ","кухня"
"ほかの","ほかの","другой, прочий"
"ほっきり","ほっきり","ясно, отчётливо"
"ほとんど","ほとんど","почти всё; почти не (с отрицанием)"
"夢","ゆめ","мечта, сон"
"いつか","いつか","когда-нибудь"
"家","いえ","дом"
"すばらしい","すばらしい","замечательный, чудесный"
"漫画","まんが","манга, комикс"
"主人公","しゅじんこう","главный герой, героиня"
"形","かたち","форма"
"不思議「な」","ふしぎ「な」","удивительный, загадочный"
"例えば","たとえば","например"
"付けます","つけます","прикреплять, добавлять"
"自由に","じゆに","свободно"
"空","そら","небо"
"飛びます","とびます","летать"
"自分","じぶん","сам, себя"
"将来","しょうらい","будущее"
"現像","げんぞう","проявка (фотоплёнки)"
"焼き増し","やきまし","дополнительная печать (фото)"
"引き伸ばし","ひきのばし","увеличение (фотографии)"
"水洗い","みずあらい","стирка водой"
"染みめき","しみめき","выведение пятен"
"防水加工","ぼうすいかこう","водоотталкивающая обработка"
"縮む","ちぢむ","садиться (об одежде)"
"伸びる","のびる","растягиваться (об одежде)"
"宅配便の受付","たくはいびんおうけつけ","приём службы доставки"
"写真現像","しゃしんげんぞう","проявка фотографий"
"公共料金振込み","こうきょうりょうきんふりこえ","оплата коммунальных услуг"
"はがき、切手の販売","はがき、きってのはんばい","продажа открыток и марок"
"","",""
"","",""
"Lesson 28:","",""
"踊ります","おどります","танцевать"
"かみます","かみます","жевать, кусать"
"選びます","えらびます","выбирать"
"違います","ちがいます","отличаться"
"通います","かよいます","регулярно ездить (в университет)"
"まじめ「な」","まじめ「な」","серьёзный"
"熱心「な」","ねっしん「な」","усердный, увлечённый"
"優しい","やさしい","мягкий, добрый"
"偉い","えらい","выдающийся, достойный уважения"
"ちょうどいい","ちょうどいい","как раз, в самый раз"
"習慣","しゅうかん","обычай, привычка"
"経験","けいけん","опыт"
"力","ちから","сила"
"人気","にんき","популярность"
"形","かたち","форма"
"色","いろ","цвет"
"味","あじ","вкус"
"品物","しなもの","товар"
"値段","ねだん","цена"
"給料","きゅうりょう","зарплата"
"番組","ばんぐみ","передача (программа)"
"小説","しょうせつ","роман (книга)"
"小説家","しょうせつか","писатель-романист"
"歌手","かしゅ","певец"
"管理人","管理人","управляющий, смотритель"
"息子","むすこ","(мой) сын"
"息子さん","むすこさん","(чей-то) сын"
"娘","むすめ","(моя) дочь"
"娘さん","むすめさん","(чья-то) дочь"
"自分","じぶん","сам, себя"
"将来","しょうらい","будущее"
"しばらく","しばらく","некоторое время"
"たいてい","たいてい","обычно, как правило"
"それに","それに","к тому же"
"それで","それで","поэтому, и вот"
"会話","かいわ","разговор, беседа"
"お知らせ","おしらせ","объявление, уведомление"
"日にち","ひにち","дата, число"
"体育館","たいいくかん","спортзал"
"無料","むりょう","бесплатно"
"中央線","ちゅうおうせん","линия Чуо (железнодорожная)"
"西荻窪駅","にしおぎくぼえき","станция Нишиогикубо (ближайшая)"
"家賃","やちん","квартплата"
"敷金","しききん","залог (за аренду)"
"礼金","れいきん","отступные (вознаграждение хозяину)"
"管理費","かんりひ","плата за содержание"
"","",""
"","",""
"Lesson 29:","",""
"開きます","あきます","открываться (о двери)"
"閉まります","しまります","закрываться (о двери)"
"つきます","つきます","загораться (о свете)"
"消えます","きえます","гаснуть, исчезать"
"込みます","こみます","быть переполненным (о дороге)"
"すきます","すきます","пустеть (о дороге)"
"壊れます","こわれます","ломаться (о стуле)"
"割れます","われます","разбиваться (о стекле)"
"折れます","おれます","ломаться, переламываться (о ветке)"
"破れます","やぶれます","рваться (о бумаге)"
"汚れます","よごれます","пачкаться (об одежде)"
"付きます","つきます","быть прикреплённым (о кармане)"
"外れます","はずれます","отстёгиваться (о пуговице)"
"止まります","とまります","останавливаться (о лифте)"
"まちがえます","まちがえます","ошибаться"
"落とします","おとします","ронять, терять"
"掛かります","かかります","быть запертым"
"「お」皿","「お」さら","тарелка, блюдо"
"「お」ちゃわん","「お」ちゃわん","пиала для риса"
"袋","ふくろ","пакет, мешок"
"財布","さいふ","кошелёк"
"枝","えだ","ветка"
"この辺","このへん","здесь поблизости, в этом районе"
"～辺","～へん","место около ~"
"ころくらい","このくらい","примерно такого размера"
"お先にどうぞ。","おさきにどうぞ。","проходите вперёд, пожалуйста"
"よかった。","よかった。","как хорошо! слава богу!"
"確か","たしか","если не ошибаюсь, кажется"
"網棚","あみだな","багажная полка"
"地震","じしん","землетрясение"
"壁","かべ","стена"
"指します","さします","указывать"
"針","はり","стрелки (часов)"
"倒れます","たおれます","падать, опрокидываться"
"方","ほう","сторона, направление"
"太っている","ふっている","полный, толстый"
"やせている","やせている","худой"
"膨らんでいる","ふくらんでいる","вздутый, выпуклый"
"穴が開いている","あながあいている","с дыркой (дырявый)"
"曲がっている","まがっている","изогнутый, кривой"
"ゆがんでいる","ゆがんでいる","перекошенный"
"へこんでいる","へこんでいる","вмятый"
"ねじれている","ねじれている","перекрученный"
"欠けている","かけている","отколотый, со сколом"
"ひびが入っている","ひびがはいっている","треснутый"
"腐っている","くさっている","гнилой, испорченный"
"乾いている","かわいている","сухой"
"ぬれている","ぬれている","мокрый"
"凍っている","こおっている","замёрзший"
"","",""
"","",""
"Lesson 30:","",""
"はります","はります","вешать, клеить, наклеивать"
"掛けます","かけます","вешать"
"飾ります","かざります","украшать, выставлять"
"並べます","ならべます","расставлять, выстраивать в ряд"
"植えます","うえます","сажать (растения)"
"戻します","もどします","возвращать на место"
"まとめます","まとめます","собирать воедино, обобщать"
"片づけます","かたづけます","убирать, приводить в порядок"
"しまいます","しまいます","убирать на место"
"決めます","きめます","решать"
"知らせます","しらせます","сообщать, извещать"
"相談します","そうだんします","советоваться, обсуждать"
"予習します","よしゅうします","готовиться к уроку заранее"
"復習します","ふくしゅうします","повторять урок"
"そのままにします","そのままにします","оставлять как есть"
"お子さん","おこさん","(чей-то) ребёнок"
"授業","じゅぎょう","урок, занятие"
"講義","こうぎ","лекция"
"予定","よてい","план, расписание"
"お知らせ","おしらせ","объявление, уведомление"
"案内書","あんないしょ","путеводитель, справочник"
"ごみ箱","ごみばこ","мусорное ведро"
"人形","にんぎょう","кукла"
"花瓶","かびん","ваза"
"鏡","かがみ","зеркало"
"引き出し","ひきだし","выдвижной ящик"
"玄関","げんかん","прихожая, вход"
"廊下","ろうか","коридор"
"壁","かべ","стена"
"池","いけ","пруд"
"交番","こうばん","полицейская будка"
"元の所","もとのところ","исходное место"
"周り","まわり","вокруг, окрестность"
"真ん中","まんなか","центр, середина"
"隅","すみ","угол (внутренний)"
"まだ","まだ","всё ещё"
"～ほど","～ほど","около ~, примерно"
"予定表","よていひょう","расписание (таблица)"
"ご苦労様","ごくろうさま","спасибо за труд"
"希望","きぼう","надежда, пожелание"
"丸い","まるい","круглый"
"地球","ちきゅう","Земля (планета)"
"うれしい","うれしい","радостный"
"嫌「な」","いや「な」","неприятный, противный"
"目が覚めます","めがさめます","просыпаться"
"位置","いち","положение, место"
"上から二段目","うえからにだんめ","второй ряд сверху"
"～の横","～のよこ","сбоку от ~, рядом с ~"
"奥","おく","в глубине, дальняя часть"
"手前","てまえ","ближняя сторона, передний план"
"前から二列目","まえからにれつめ","второй ряд спереди"
"机の周り","つくえのまわり","вокруг стола"
"斜め前","ななめまえ","впереди наискосок"
"斜め後ろ","ななめうしろ","позади наискосок"
"～のそば","～のそば","рядом с ~, около ~"
"二行目","にぎょうめ","вторая строка"
"","",""
"","",""
"Lesson 31:","",""
"始まります","はじまります","начинаться (о церемонии)"
"続けます","つづけます","продолжать"
"見つけます","みつけます","находить"
"受けます","うけます","сдавать (экзамен)"
"入学します","にゅうがくします","поступать (в университет)"
"卒業します","そつぎょうします","оканчивать (университет)"
"出席します","しゅっせきします","присутствовать (на собрании)"
"休憩します","きゅうけいします","делать перерыв, отдыхать"
"連休","れんきゅう","череда выходных подряд"
"作文","さくぶん","сочинение"
"展覧会","てんらんかい","выставка"
"結婚式","けっこんしき","свадебная церемония"
"「お」葬式","「お」そうしき","похороны"
"式","しき","церемония"
"本社","ほんしゃ","головной офис"
"支店","してん","филиал"
"温泉","おんせん","горячий источник"
"お客","おきゃく","гость, посетитель, клиент"
"だれか","だれか","кто-то"
"ずっと","ずっと","всё время, постоянно"
"残ります","のこります","оставаться"
"月に","つきに","в месяц"
"普通の","ふつうの","обычный, обыкновенный"
"嫌「な」","いや「な」","неприятный, противный"
"空","そら","небо"
"閉じます","とじます","закрывать"
"自由に","じゆうに","свободно"
"世界中","せかいじゅう","по всему миру"
"美しい","うつくしい","красивый, прекрасный"
"自然","しぜん","природа"
"すばらしさ","すばらしさ","прелесть, великолепие"
"薬学","やくがく","фармацевтика"
"生化学","せいかがく","биохимия"
"生物学","せいぶつがく","биология"
"農学","のうがく","агрономия"
"土木工学","どうぼくこうがく","строительная инженерия"
"電子工学","でんしこうがく","электроника"
"電気工学","でんきこうがく","электротехника"
"遺伝子工学","いでんしこうがく","генная инженерия"
"建築学","けんちくがく","архитектура"
"環境科学","かんきょうかがく","наука об окружающей среде"
"国際関係学","こくさいかんけいがく","международные отношения"
"法律学","ほうりつがく","юриспруденция"
"経営学","けいえいがく","менеджмент (управление бизнесом)"
"社会学","しゃかいがく","социология"
"言語学","げんごがく","лингвистика"
"心理学","しんりがく","психология"
"哲学","てつがく","философия"
"宗教学","しゅうきょうがく","религиоведение"
"芸術","げいじゅつ","искусство"
"美術","びじゅつ","изобразительное искусство"
"","",""
"","",""
"Lesson 32:","",""
"運動します","うんどうします","заниматься спортом"
"成功します","せいこうします","добиваться успеха"
"失敗します","しっぱいします","провалить (экзамен), потерпеть неудачу"
"合格します","ごうかくします","сдать (экзамен)"
"戻ります","もどります","возвращаться"
"やみます","やみます","прекращаться (о дожде)"
"晴れます","はれます","проясняться"
"曇ります","くもります","становиться пасмурным"
"吹きます","ふきます","дуть (о ветре)"
"治ります","なおります","выздоравливать"
"続きます","つづきます","продолжаться (о жаре)"
"ひきます","ひきます","подхватить (простуду)"
"冷やします","ひやします","охлаждать"
"心配「な」","しんぱい「な」","тревожный, беспокоящий"
"十分「な」","じゅうぶん「な」","достаточный"
"おかしい","おかしい","странный, смешной"
"うるさい","うるさい","шумный"
"やけどをします","やけどをします","обжечься"
"けがをします","けがをします","получить травму"
"せきをします","せきをします","кашлять"
"太陽","たいよう","солнце"
"星","ほし","звезда"
"月","つき","луна"
"風","かぜ","ветер"
"水道","すいどう","водопровод, кран"
"今夜","こんや","сегодня вечером"
"夕方","ゆうがた","ранний вечер, сумерки"
"遅く","おそく","поздно"
"こんなに","こんなに","вот так, настолько"
"そんなに","そんなに","так, настолько"
"もしかしたら","もしかしたら","может быть, возможно"
"それわいけませんね","それわいけあせんね","это плохо, нехорошо"
"胃","い","желудок"
"働きすき","はたらきすき","переработка (слишком много работы)"
"無理をします","むりをします","перенапрягаться, работать сверх сил"
"ゆっくりします","ゆっくりします","отдыхать, не спешить"
"星占い","ほしうらない","гороскоп"
"牡牛座","おうしざ","Телец (знак зодиака)"
"困ります","こまります","быть в затруднении"
"宝くじ","たからくじ","лотерея"
"当たります","あたります","выигрывать (в лотерею)"
"健康","けんこう","здоровье"
"恋愛","れんあい","романтическая любовь"
"恋人","こいびと","возлюбленный, возлюбленная"
"「お」金持ち","「お」かねもち","богач"
"天気予報","てんきよほう","прогноз погоды"
"降水確率","こうすいかりつ","вероятность осадков"
"最高気温","さいこうきおん","максимальная температура"
"最低気温","さいていきおん","минимальная температура"
"曇り","くもり","пасмурно"
"雪","ゆき","снег"
"晴れのち曇り","はれのちくもり","ясно, позже облачно"
"曇り時々雨","くもりときどきあめ","облачно, временами дождь"
"曇り所によって雨","くもりところによってあめ","облачно, местами дождь"
"にわか雨","にわかあめ","кратковременный ливень"
"雷","かみなり","гром"
"台風","たいふう","тайфун"
"虹","にじ","радуга"
"湿度","しつど","влажность"
"蒸し暑い","むしあつい","жарко и душно"
"さわやか「な」","さわやか「な」","свежий, освежающий"
"","",""
"","",""
"Lesson 33:","",""
"逃げます","にげます","убегать, спасаться"
"騒ぎます","さわぎます","шуметь"
"あきらめます","あきらめます","сдаваться, отказываться"
"投げます","なげます","бросать"
"守ります","まもります","соблюдать, защищать"
"上げます","あげます","поднимать"
"下げます","さげます","опускать"
"伝えます","つたえます","передавать (сообщение)"
"注意します","ちゅいします","быть внимательным, предупреждать"
"外します","はずします","отлучаться"
"だめ「な」","だめ「な」","нельзя, негодный"
"席","せき","место (сиденье)"
"洗濯機","せんたくき","стиральная машина"
"～機","～き","～-машина (аппарат)"
"規則","きそく","правило, регламент"
"使用禁止","しようきんし","пользоваться запрещено"
"立入禁止","たちいりきんし","вход воспрещён"
"入口","いりぐち","вход"
"出口","でぐち","выход"
"非常口","ひじょうぐち","запасной выход"
"無料","むりょう","бесплатно"
"本日休強","ほんじつきゅうぎょう","сегодня закрыто (выходной)"
"営業中","えいぎょうちゅう","открыто (идёт работа)"
"使用中","しようちゅう","занято"
"～中","～ちゅう","в процессе ~"
"どういう～","どういう～","какой ~, что за ~"
"駐車違反","ちゅうしゃいはん","нарушение правил парковки"
"そりゃあ","そりゃあ","ну..."
"～以内","～いない","в пределах ~"
"警察","けいさつ","полиция"
"罰金","ばつきん","штраф"
"電報","でんぽう","телеграмма"
"人々","ひとびと","люди"
"急用","きゅうよう","срочное дело"
"打ちます","うちます","отправлять (телеграмму)"
"電報代","でんぽうだい","плата за телеграмму"
"できるだけ","できるだけ","как можно больше"
"短く","みじかく","коротко, кратко"
"例えば","たとえば","например"
"重い病気","おもいびょうき","тяжёлая болезнь"
"明日","あす","завтра"
"留守","るす","отсутствие (дома)"
"留守番","るすばん","присмотр за домом в отсутствие хозяина"
"「お」祝い","「お」いわい","празднование, поздравление"
"亡くなります","なくなります","скончаться"
"悲しみ","かなしみ","горе, печаль"
"準備中","じゅんびちゅう","идёт подготовка"
"化粧室","けしょうしつ","туалет (уборная)"
"禁煙席","きんえんせき","место для некурящих"
"予約席","よやくせき","зарезервированное место"
"火気厳禁","かきげんきん","обращаться с огнём строго запрещено"
"割れ物注意","われものちゅうい","осторожно, хрупкое"
"運転初心者注意","うんてんしょしんしゃちゅうい","осторожно, начинающий водитель"
"工事中","こうじちゅう","идут работы (ремонт)"
"塩素系漂白剤不可","えんそけいひょうはくざいふか","не использовать хлорный отбеливатель"
"手洗い","てあらい","ручная стирка"
"標識","ひょうしき","знаки, указатели"
"","",""
"","",""
"Lesson 34：","",""
"磨きます","みがきます","чистить (зубы), полировать"
"組み立てます","くみたてます","собирать (конструкцию)"
"折ります","おります","сгибать, складывать, ломать"
"つけます","つけます","макать (в соевый соус)"
"見つかります","みつかります","находиться, обнаруживаться"
"します","します","надевать (галстук)"
"細い","ほそい","тонкий (узкий)"
"太い","ふとい","толстый"
"盆踊り","ぼんおどり","танец праздника Бон"
"家具","かぐ","мебель"
"説明書","せつめいしょ","инструкция, руководство"
"線","せん","линия"
"矢印","やじるし","стрелка (указатель)"
"黒","くろ","чёрный"
"白","しろ","белый"
"赤","あか","красный"
"青","あお","синий"
"紺","こん","тёмно-синий"
"黄色","黄色","жёлтый"
"茶色","ちゃいろ","коричневый"
"しょうゆ","しょうゆ","соевый соус"
"～か～","～か～","~или~"
"ゆうべ","ゆうべ","вчера вечером"
"さっき","さっき","недавно, только что"
"茶道","さどう","чайная церемония"
"お茶をたてます","おちゃをたてます","взбивать чай (для церемонии)"
"先に","さきに","сначала, заранее"
"載せます","のせます","класть сверху, помещать"
